dateTime,code,name,profitAmount,profitRate,trades,winRate,holdingDays,
2026-01-08,159915,创业板100ETF,429,279.17,52.58,29,69.0,443
2026-01-08,513030,德国ETF,130,797.94,16.02,22,68.2,293
2026-01-08,513300,纳斯达克ETF,97,58.54,11.89,25,72.0,381
2026-01-08,159985,豆粕ETF,88,292.1,10.82,23,52.2,431
2026-01-08,518880,黄金ETF,63,684.86,7.80,24,50.0,279
2026-01-08,513520,日经ETF,7,256.71,0.89,18,50.0,251
2026-01-09,159915,创业板100ETF,429,279.17,52.58,29,69.0,443
2026-01-09,513030,德国ETF,130,797.94,16.02,22,68.2,293
2026-01-09,513300,纳斯达克ETF,97,58.54,11.89,25,72.0,381
2026-01-09,159985,豆粕ETF,88,292.1,10.82,23,52.2,431
2026-01-09,518880,黄金ETF,63,684.86,7.80,-24,50.0,279
2026-01-09,513520,日经ETF,7,-256.71,0.89,18,50.0,251
